X,Y,id,Name,Easting,Northing,icon_url
-7.24273238465762,53.2021768065461,1,Pt1,650593.513,717128.102,./0.png
-7.24287367945722,53.2022434190891,2,Pt2,650583.995,717135.414,./0.png
-7.2470860349844,53.2035681535493,3,Pt3,650301.019,717279.843,./0.png
-7.24708837492803,53.2036739255456,4,Pt4,650300.739,717291.611,./0.png
-7.24678159514319,53.2050405353192,5,Pt5,650319.633,717443.886,./0.png
-7.24677453518138,53.205069448019,6,Pt6,650320.071,717447.108,./0.png
-7.2451014382963,53.2049345329995,7,Pt7,650432.000,717433.274,./0.png
-7.24304947889941,53.2047093131452,8,Pt8,650569.347,717409.663,./0.png
